Time, X, Y, Z, errorZ, 
3.96667,0,0,9.98703,0.0129729,29.4308
3.98333,0,0,9.98706,0.0129424,29.4308
4,0,0,9.98709,0.0129116,29.4307
4.01667,0,0,9.98712,0.0128806,29.4307
4.03333,0,0,9.98715,0.0128494,29.4306
4.05,0,0,9.98718,0.0128181,29.4306
4.06667,0,0,9.98721,0.0127866,29.4305
4.08333,0,0,9.98725,0.012755,29.4305
4.1,0,0,9.98728,0.0127232,29.4305
4.11667,0,0,9.98731,0.0126914,29.4304
4.13333,0,0,9.98734,0.0126594,29.4304
4.15,0,0,9.98737,0.0126273,29.4303
4.16667,0,0,9.9874,0.0125951,29.4303
4.18333,0,0,9.98744,0.0125629,29.4303
4.2,0,0,9.98747,0.0125305,29.4303
4.21667,0,0,9.9875,0.0124982,29.4302
4.23333,0,0,9.98753,0.0124657,29.4302
4.25,0,0,9.98757,0.0124332,29.4302
4.26667,0,0,9.9876,0.0124006,29.4301
4.28333,0,0,9.98763,0.0123681,29.4301
4.3,0,0,9.98766,0.0123355,29.4301
4.31667,0,0,9.9877,0.0123028,29.4301
4.33333,0,0,9.98773,0.0122702,29.4301
4.35,0,0,9.98776,0.0122375,29.43
4.36667,0,0,9.9878,0.0122048,29.43
4.38333,0,0,9.98783,0.0121721,29.43
4.4,0,0,9.98786,0.0121395,29.43
4.41667,0,0,9.98789,0.0121068,29.43
4.43333,0,0,9.98793,0.0120742,29.4299
4.45,0,0,9.98796,0.0120415,29.4299
4.46667,0,0,9.98799,0.0120089,29.4299
4.48333,0,0,9.98802,0.0119763,29.4299
4.5,0,0,9.98806,0.0119438,29.4299
4.51667,0,0,9.98809,0.0119112,29.4299
4.53333,0,0,9.98812,0.0118788,29.4299
4.55,0,0,9.98815,0.0118463,29.4299
4.56667,0,0,9.98819,0.0118139,29.4298
4.58333,0,0,9.98822,0.0117815,29.4298
4.6,0,0,9.98825,0.0117492,29.4298
4.61667,0,0,9.98828,0.0117169,29.4298
4.63333,0,0,9.98832,0.0116847,29.4298
4.65,0,0,9.98835,0.0116525,29.4298
4.66667,0,0,9.98838,0.0116204,29.4298
4.68333,0,0,9.98841,0.0115883,29.4298
4.7,0,0,9.98844,0.0115563,29.4298
4.71667,0,0,9.98848,0.0115244,29.4298
4.73333,0,0,9.98851,0.0114925,29.4298
4.75,0,0,9.98854,0.0114607,29.4298
4.76667,0,0,9.98857,0.011429,29.4298
4.78333,0,0,9.9886,0.0113973,29.4298
4.8,0,0,9.98863,0.0113657,29.4298
4.81667,0,0,9.98867,0.0113341,29.4298
4.83333,0,0,9.9887,0.0113026,29.4297
4.85,0,0,9.98873,0.0112712,29.4297
4.86667,0,0,9.98876,0.0112399,29.4297
4.88333,0,0,9.98879,0.0112086,29.4297
4.9,0,0,9.98882,0.0111774,29.4297
4.91667,0,0,9.98885,0.0111463,29.4297
4.93333,0,0,9.98888,0.0111153,29.4297
4.95,0,0,9.98892,0.0110843,29.4297
4.96667,0,0,9.98895,0.0110534,29.4297
4.98333,0,0,9.98898,0.0110226,29.4297
5,0,0,9.98901,0.0109919,29.4297
